 Date , Fiscal Year , Total Police Workforce  , Total Police Officers , Total Police       Staff , Total PCSO's (Police Community Support Officers) ," Special Constables, Headcount "," Total Crime Survey, Thousands (ONS Survey) ", Total Crime (Police) , Number of Charges/ Summonses (Offence occurred in same period) , Number of Charges/ Summonses (Closed investigations) ," Prosecutions at Magistrates' Courts (MC), Principal ", Proceedings Discontinued or Discharged at Magistrates' Courts (MC) , Charge Withdrawn or Dismissed at Magistrates' Courts (MC) , Other Disposal Without Conviction at Magistrates' Courts (MC) , Committed for Trial at Crown Court at Magistrates' Courts (MC) , Convicted at Magistrates' Courts (MC) , Committed for Sentence at Crown Court by Magistrates' Courts (MC) , Sentenced at Magistrates' Court (MC) , MC: Absolute Discharge , MC: Conditional Discharge , MC: Fine , MC: Community Sentences , MC: Suspended Sentences , MC: Custody , MC: Compensation , MC: Otherwise Dealt with , MC: Disposal not Known , MC: Pre-court - Offence to Charge (Mean) , MC: Pre-court - Offence to Charge (Median) , MC: Pre-court - Charge or Laying of Information to First Listing  (Mean) , MC: Pre-court - Charge or Laying of Information to First Listing (Median) [Note 54] , MC: At Court - First Listing to Completion (Mean) , MC: All - Offence to Completion (Mean) , MC: All - Offence to Completion (Median) [Note 54] , Sent for Trial at CC (CC) , Sent for Sentence at CC from MC (CC) , Case Discontinued at the Crown Court , Acquitted at the Crown Court , Other Disposal Without Conviction , Convictions at the Crown Court (CC) , Sentenced at the Crown Court (CC) , Calendar Year (Prison) , Date (Prison Quarter) , Remand , Sentenced , Non Criminal Prisoners , Total Prisoners 
 31 March 2003 , 2002-03 ," 198,375 "," 132,509 "," 62,581 "," 1,176 "," 11,037 ",," 5,974,960 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 31 March 2004 , 2003-04 ," 211,667 "," 138,468 "," 68,093 "," 3,418 "," 10,988 ",," 6,013,759 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 31 March 2005 , 2004-05 ," 220,895 "," 141,059 "," 72,341 "," 6,214 "," 11,918 ",," 5,637,511 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 31 March 2006 , 2005-06 ," 224,458 "," 141,523 "," 75,113 "," 6,769 "," 13,179 ",," 5,555,172 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 March 2007,2006-07," 233,008 "," 141,893 "," 76,857 "," 13,529 "," 14,021 ",," 5,427,558 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 March 2008,2007-08," 236,524 "," 141,157 "," 78,970 "," 15,807 "," 14,544 ",," 4,952,277 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 March 2009,2008-09," 243,153 "," 143,769 "," 82,409 "," 16,507 "," 14,251 ",," 4,702,697 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 March 2010,2009-10," 244,497 "," 143,734 "," 83,436 "," 16,918 "," 15,505 ",," 4,338,295 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 March 2011,2010-11," 233,255 "," 139,110 "," 78,074 "," 15,820 "," 18,421 ",," 4,150,916 ","675,090",,1642065,43319,218064,58,105472,1275190,20522,1254668,8519,87378,886096,169422,26520,48790,7696,20106,141,86.37240055,67.75,35.63619289,30.25,22.38759952,144.396193,129.5," 107,589 "," 19,049 "," 1,227 "," 21,331 ", 260 ," 84,836 "," 103,885 ",,,,,,
31 March 2012,2011-12," 220,121 "," 134,100 "," 71,592 "," 14,393 "," 20,343 ",," 4,379,984 ","648,482",,1555053,39364,203185,70,97595,1214882,22447,1192435,7958,82891,843865,155905,26378,49387,6471,19433,147,89.34526751,74,37.9612003,31.5,22.12436219,149.3490141,136," 98,596 "," 21,552 ", 940 ," 18,630 ", 213 ," 78,852 "," 100,404 ",,,,,,
31 March 2013,2012-13," 213,632 "," 129,584 "," 69,822 "," 14,205 "," 19,011 ",," 4,063,571 ","581,129",,1461371,33286,206495,50,84574,1137000,20943,1116057,7257,76483,812394,126230,24419,46145,7892,15174,63,90.03303991,76.5,35.69911707,28.25,21.52618074,147.2583377,138," 84,897 "," 18,979 ", 631 ," 16,130 ", 208 ," 67,906 "," 86,885 ",,,,,,
31 March 2014,2013-14," 209,362 "," 127,909 "," 68,370 "," 13,066 "," 17,764 ",," 4,028,463 ","603,989",,1440326,27271,197093,42,102083,1113862,20342,1093520,6719,73754,803094,109643,28723,44750,8449,18333,55,92.97082462,89.25,37.66708862,29.75,21.27165577,152.159569,146," 84,058 "," 17,998 ", 571 ," 14,677 ", 206 ," 68,551 "," 86,549 ",,,,,,
