file_name,file_id,file_size,file_path,csv_title,active_row_number,active_column_number,dataset_description,dataset_column_names,time_coverage_start,time_coverage_end,geo_coverage,dataset_topic,dataset_aggregation,csv_example,clean_csv_path,text_header,csv_processing,full_description
CJS_overview/cjs-overview-tables-June-2024.ods,0x8DD46BBB6AF20D4,125388,../data/cjs-overview-tables-June-2024.ods,Contents,3,0,"The dataset contains statistical tables related to criminal justice in England and Wales, including information on offenders, defendants, convictions, and sentencing. It provides detailed breakdowns by offense type, custody rates, and other metrics.","['Table of contents', 'Description']",2023-Q1,2023-Q4,"['England', 'Wales']","Criminal justice statistics, including offenders, convictions, and sentencing in England and Wales.","The dataset aggregates data by offense type, custody rates, sentencing outcomes, and other metrics, providing quarterly statistics for the year 2023.","  Table of contents                                        Description
3              Q1_1  Table Q1.1 - Individuals entering the Criminal...
4              Q1_2  Table Q1.2 - Recorded crime and notifiable off...
5              Q1_3  Table Q1.3 - Individuals entering the criminal...
6              Q1_4  Table Q1.4 - Quarterly out of court disposal, ...
7              Q2_1  Table Q2.1 - Number of offenders issued a Pena...",../data/clean_csv/cjs-overview-tables-June-2024.ods_Contents.csv,This worksheet contains one table. nan Sheet name Sheet title Notes Notes used in the statistical tables of this workbook,columns set,"The dataset in document CJS_overview/cjs-overview-tables-June-2024.ods contains information about Criminal justice statistics, including offenders, convictions, and sentencing in England and Wales. from 2023-Q1 to 2023-Q4. The dataset covers the following regions: England, Wales. The dataset has the following columns: Table of contents, Description. The dataset has the following aggregations: The dataset aggregates data by offense type, custody rates, sentencing outcomes, and other metrics, providing quarterly statistics for the year 2023.. The dataset has the following description: The dataset contains statistical tables related to criminal justice in England and Wales, including information on offenders, defendants, convictions, and sentencing. It provides detailed breakdowns by offense type, custody rates, and other metrics."
CJS_overview/cjs-overview-tables-June-2024.ods,0x8DD46BBB6AF20D4,125388,../data/cjs-overview-tables-June-2024.ods,Q1_1,3,1,"The dataset provides statistics on individuals entering the Criminal Justice System in England and Wales over a 10-year period, from the 12 months ending June 2014 to the 12 months ending June 2024. It includes data on various stages of the justice process, such as out-of-court disposals, defendants proceeded against, offenders convicted, and prison receptions.","['Category', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', 'Percentage Change']",2014-Q2,2024-Q2,"['England', 'Wales']",Statistics on individuals entering the Criminal Justice System in England and Wales.,"The dataset aggregates data by year and category, covering various stages of the justice process, such as out-of-court disposals, convictions, and prison receptions. It also includes percentage changes over time.","                                           Category    2014      2015  \
3           Out of court disposals (OOCDs) [note 6]  246665  343404.0   
4               OOCDs: penalty notices for disorder   72800   56260.0   
5                                   OOCDs: cautions  173865  140219.0   
6  OOCDs: cannabis / khat warnings [note 7][note 8]     [x]   40813.0   
7     OOCDs: community resolutions [note 8][note 9]     [x]  106112.0   

       2016      2017      2018      2019      2020      2021      2022  \
3  299617.0  255167.0  223528.0  212039.0  219362.0  203234.0  201405.0   
4   41825.0   30509.0   22868.0   20661.0   18412.0   13954.0   12658.0   
5  114301.0   93333.0   75399.0   66316.0   59421.0   52491.0   49728.0   
6   35011.0   31436.0   29121.0   19728.0   17455.0   12631.0    5517.0   
7  108480.0   99889.0   96140.0  105334.0  124074.0  124158.0  133502.0   

       2023      2024    Percentage Change  
3  197461.0  195152.0   -0.011693448326505  
4    8398.0    5656.0   -0.326506311026435  
5   45855.0   44238.0  -0.0352633300621524  
6    3090.0    1285.0   -0.584142394822006  
7  140118.0  143973.0   0.0275125251573674  ",../data/clean_csv/cjs-overview-tables-June-2024.ods_Q1_1.csv,"This worksheet contains one table. nan nan nan nan nan nan nan nan nan nan nan nan Source: Ministry of Justice Court Proceedings Database, Offender Management Statistics Quarterly (Prison receptions: Table 2.5b and Probation: Table 4.1) and Home Office open data tables nan nan nan nan nan nan nan nan nan nan nan nan Overview 2014 2015.0 2016.0 2017.0 2018.0 2019.0 2020.0 2021.0 2022.0 2023.0 2024.0 Percentage change 12 months ending June 2023 to June 2024",columns set,"The dataset in document CJS_overview/cjs-overview-tables-June-2024.ods contains information about Statistics on individuals entering the Criminal Justice System in England and Wales. from 2014-Q2 to 2024-Q2. The dataset covers the following regions: England, Wales. The dataset has the following columns: Category, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, Percentage Change. The dataset has the following aggregations: The dataset aggregates data by year and category, covering various stages of the justice process, such as out-of-court disposals, convictions, and prison receptions. It also includes percentage changes over time.. The dataset has the following description: The dataset provides statistics on individuals entering the Criminal Justice System in England and Wales over a 10-year period, from the 12 months ending June 2014 to the 12 months ending June 2024. It includes data on various stages of the justice process, such as out-of-court disposals, defendants proceeded against, offenders convicted, and prison receptions."
CJS_overview/cjs-overview-tables-June-2024.ods,0x8DD46BBB6AF20D4,125388,../data/cjs-overview-tables-June-2024.ods,Q1_3,3,0,"The dataset provides information on individuals entering the criminal justice system in England and Wales, categorized by offence group and outcome, for the 12 months ending June 2023 to the 12 months ending June 2024. It includes various metrics such as offence types, outcomes, and sentencing details.","['Offence type [note 10]', 'Offence Group', 'Year', 'Cannabis/Khat Warnings', 'Penalty Notices for Disorder', 'Community Resolutions', 'Cautions', 'Proceeded Against', 'Convicted', 'Sentenced Total', 'Sentenced: Discharged', 'Sentenced: Fine', 'Sentenced: Community Sentence', 'Sentenced: Suspended Sentence', 'Sentenced: Compensation', 'Sentenced: Otherwise Dealt With', 'Sentenced: Disposal Not Known', 'Sentenced: Custody', 'Custody Rate (%)', 'Average Custodial Sentence Length']",2023-Q3,2024-Q2,"['England', 'Wales']","The dataset focuses on criminal justice system entries, categorized by offence type and outcomes, including sentencing details.","The dataset aggregates data by offence group, year, and various outcomes such as convictions, sentencing types, and custody rates.","   Offence type [note 10]                Offence Group  Year  \
3  Offence type [note 10]                Offence group  Year   
4              Indictable    Indictable offences total  2023   
5              Indictable    Indictable offences total  2024   
6              Indictable  Violence against the person  2023   
7              Indictable  Violence against the person  2024   

                       Cannabis/Khat Warnings  \
3  Cannabis / khat warnings [notes 6][note 7]   
4                                        3345   
5                                        1438   
6                                         [z]   
7                                         [z]   

            Penalty Notices for Disorder  \
3  Penalty notices for disorder [note 6]   
4                                    [z]   
5                                    [z]   
6                                    [z]   
7                                    [z]   

                     Community Resolutions           Cautions  \
3  Community resolutions [notes 6][note 9]  Cautions [note 6]   
4                                   145335                [z]   
5                                   151072                [z]   
6                                    42799               5420   
7                                    47307               4662   

            Proceeded Against           Convicted            Sentenced Total  \
3  Proceeded against [note 5]  Convicted [note 5]  Sentenced total [note 11]   
4                      213543              177103                     176776   
5                      251879              203856                     201983   
6                       52393               39686                      39491   
7                       61774               43865                      43685   

             Sentenced: Discharged  Sentenced: Fine  \
3  Sentenced: discharged [note 25]  Sentenced: fine   
4                            11854            27730   
5                            13175            30900   
6                             1675             4014   
7                             1640             4396   

             Sentenced: Community Sentence Sentenced: Suspended Sentence  \
3  Sentenced: community sentence [note 13]  Sentence: suspended sentence   
4                                    39321                         33404   
5                                    43879                         38906   
6                                    10469                          8353   
7                                    11290                          9629   

   Sentenced: Compensation            Sentenced: Otherwise Dealt With  \
3  Sentenced: compensation  Sentenced: otherwise dealt with [note 26]   
4                     1429                                       4284   
5                     2192                                       6035   
6                      261                                        462   
7                      272                                        574   

   Sentenced: Disposal Not Known            Sentenced: Custody  \
3  Sentenced: disposal not known  Sentenced: custody [note 12]   
4                              0                         58754   
5                              1                         66895   
6                              0                         14257   
7                              1                         15883   

             Custody Rate (%)            Average Custodial Sentence Length  
3  Custody Rate (%) [note 27]  Average Custodial Sentence Length [note 15]  
4                       0.331                                         22.8  
5                        0.33                                         22.5  
6                       0.361                                         20.8  
7                       0.364                                         21.1  ",../data/clean_csv/cjs-overview-tables-June-2024.ods_Q1_3.csv,"This worksheet contains one table. nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan This table contains notes, which can be found in the Notes worksheet. nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan Source: Ministry of Justice Court Proceedings Database and Home Office open data tables (recorded crime, cannabis/khat warnings, community resolutions and offences taken into consideration) nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan",columns set,"The dataset in document CJS_overview/cjs-overview-tables-June-2024.ods contains information about The dataset focuses on criminal justice system entries, categorized by offence type and outcomes, including sentencing details. from 2023-Q3 to 2024-Q2. The dataset covers the following regions: England, Wales. The dataset has the following columns: Offence type [note 10], Offence Group, Year, Cannabis/Khat Warnings, Penalty Notices for Disorder, Community Resolutions, Cautions, Proceeded Against, Convicted, Sentenced Total, Sentenced: Discharged, Sentenced: Fine, Sentenced: Community Sentence, Sentenced: Suspended Sentence, Sentenced: Compensation, Sentenced: Otherwise Dealt With, Sentenced: Disposal Not Known, Sentenced: Custody, Custody Rate (%), Average Custodial Sentence Length. The dataset has the following aggregations: The dataset aggregates data by offence group, year, and various outcomes such as convictions, sentencing types, and custody rates.. The dataset has the following description: The dataset provides information on individuals entering the criminal justice system in England and Wales, categorized by offence group and outcome, for the 12 months ending June 2023 to the 12 months ending June 2024. It includes various metrics such as offence types, outcomes, and sentencing details."
CJS_overview/cjs-overview-tables-June-2024.ods,0x8DD46BBB6AF20D4,125388,../data/cjs-overview-tables-June-2024.ods,Q1_4,2,0,"The dataset provides quarterly statistics on out-of-court disposals, prosecutions, convictions, and sentencing outcomes in England and Wales for the 12 months ending June 2023 and June 2024. It includes data on various types of offenses, offender outcomes, and average custodial sentence lengths.","['Category', 'Jul to Sep 2022', 'Oct to Dec 2022', 'Jan to Mar 2023', 'Apr to Jun 2023', 'Jul to Sep 2023', 'Oct to Dec 2023', 'Jan to Mar 2024', 'Apr to Jun 2024']",2022-Q3,2024-Q2,"['England', 'Wales']","Quarterly statistics on criminal justice outcomes, including out-of-court disposals, prosecutions, convictions, and sentencing.","The dataset aggregates data by offense type, offender outcomes, and time periods (quarters) over a two-year span.","                                           Category  Jul to Sep 2022  \
2                                          Overview  Jul to Sep 2022   
3           Out of court disposals (OOCDs) [note 6]            51188   
4               OOCDs: penalty notices for disorder             2331   
5                                   OOCDs: cautions            12053   
6  OOCDs: cannabis / khat warnings [note 7][note 8]              980   

   Oct to Dec 2022  Jan to Mar 2023  Apr to Jun 2023  Jul to Sep 2023  \
2  Oct to Dec 2022  Jan to Mar 2023  Apr to Jun 2023  Jul to Sep 2023   
3            50229            51620            49896            50697   
4             2178             2047             1842             1827   
5            11533            11249            11020            10981   
6              939              829              597              543   

   Oct to Dec 2023  Jan to Mar 2024  Apr to Jun 2024  
2  Oct to Dec 2023  Jan to Mar 2024  Apr to Jun 2024  
3            49602            51818            50287  
4             1504             1173             1152  
5            10986            11128            11143  
6              395              289              211  ",../data/clean_csv/cjs-overview-tables-June-2024.ods_Q1_4.csv,This worksheet contains one table. nan nan nan nan nan nan nan nan Source: Ministry of Justice Court Proceedings Database and Home Office open data tables (cannabis/khat warnings and community resolutions) nan nan nan nan nan nan nan nan,columns set,"The dataset in document CJS_overview/cjs-overview-tables-June-2024.ods contains information about Quarterly statistics on criminal justice outcomes, including out-of-court disposals, prosecutions, convictions, and sentencing. from 2022-Q3 to 2024-Q2. The dataset covers the following regions: England, Wales. The dataset has the following columns: Category, Jul to Sep 2022, Oct to Dec 2022, Jan to Mar 2023, Apr to Jun 2023, Jul to Sep 2023, Oct to Dec 2023, Jan to Mar 2024, Apr to Jun 2024. The dataset has the following aggregations: The dataset aggregates data by offense type, offender outcomes, and time periods (quarters) over a two-year span.. The dataset has the following description: The dataset provides quarterly statistics on out-of-court disposals, prosecutions, convictions, and sentencing outcomes in England and Wales for the 12 months ending June 2023 and June 2024. It includes data on various types of offenses, offender outcomes, and average custodial sentence lengths."
CJS_overview/cjs-overview-tables-June-2024.ods,0x8DD46BBB6AF20D4,125388,../data/cjs-overview-tables-June-2024.ods,Q5_1a,3,0,"The dataset provides information on the number of offenders sentenced at criminal courts in England and Wales, categorized by offence type and sentence outcome, covering the period from the 12 months ending June 2014 to the 12 months ending June 2024.","['Offence Type', 'Type of Sentence', '2014-Q2', '2015-Q2', '2016-Q2', '2017-Q2', '2018-Q2', '2019-Q2', '2020-Q2', '2021-Q2', '2022-Q2', '2023-Q2', '2024-Q2']",2014-Q2,2024-Q2,"['England', 'Wales']",Sentencing outcomes at criminal courts by offence type in England and Wales.,"The dataset aggregates data by offence type, sentence outcome, and year-quarter time periods, providing counts and averages for various sentencing categories.","             Offence Type              Type of Sentence  2014-Q2  2015-Q2  \
3  Offence type [note 10]              Type of sentence     2014     2015   
4       All offence types               Sentenced total  1183054  1237267   
5       All offence types   Immediate custody [note 12]    92650    90601   
6       All offence types            Suspended sentence    51492    55291   
7       All offence types  Community sentence [note 13]   116288   109193   

   2016-Q2  2017-Q2  2018-Q2  2019-Q2 2020-Q2 2021-Q2  2022-Q2  2023-Q2  \
3     2016     2017     2018     2019    2020    2021     2022     2023   
4  1259391  1230770  1205168  1190379  979085  909947  1002835  1081486   
5    90826    90128    86630    80256   67291   63305    65227    66682   
6    57260    56554    50801    40897   34779   43537    42324    40850   
7   106742    98362    92532    91403   66259   74153    70561    68402   

   2024-Q2  
3     2024  
4  1147774  
5    75342  
6    46365  
7    73425  ",../data/clean_csv/cjs-overview-tables-June-2024.ods_Q5_1a.csv,"This worksheet contains one table. nan nan nan nan nan nan nan nan nan nan nan nan This table contains notes, which can be found in the Notes worksheet. nan nan nan nan nan nan nan nan nan nan nan nan Source: Ministry of Justice Court Proceedings Database nan nan nan nan nan nan nan nan nan nan nan nan",columns set,"The dataset in document CJS_overview/cjs-overview-tables-June-2024.ods contains information about Sentencing outcomes at criminal courts by offence type in England and Wales. from 2014-Q2 to 2024-Q2. The dataset covers the following regions: England, Wales. The dataset has the following columns: Offence Type, Type of Sentence, 2014-Q2, 2015-Q2, 2016-Q2, 2017-Q2, 2018-Q2, 2019-Q2, 2020-Q2, 2021-Q2, 2022-Q2, 2023-Q2, 2024-Q2. The dataset has the following aggregations: The dataset aggregates data by offence type, sentence outcome, and year-quarter time periods, providing counts and averages for various sentencing categories.. The dataset has the following description: The dataset provides information on the number of offenders sentenced at criminal courts in England and Wales, categorized by offence type and sentence outcome, covering the period from the 12 months ending June 2014 to the 12 months ending June 2024."
CJS_overview/cjs-overview-tables-June-2024.ods,0x8DD46BBB6AF20D4,125388,../data/cjs-overview-tables-June-2024.ods,Q5_1b,3,0,"The dataset provides the number of offenders (excluding companies, public bodies, etc.) sentenced at criminal courts in England and Wales, categorized by offence type and sentence outcome, covering the period from June 2014 to June 2024. It includes various sentencing outcomes such as immediate custody, suspended sentences, fines, and more.","['Offence Type', 'Type of Sentence', '2014-Q2', '2015-Q2', '2016-Q2', '2017-Q2', '2018-Q2', '2019-Q2', '2020-Q2', '2021-Q2', '2022-Q2', '2023-Q2', '2024-Q2']",2014-Q2,2024-Q2,"['England', 'Wales']",Sentencing outcomes for offenders in criminal courts by offence type and time period.,"The dataset aggregates the number of offenders sentenced by offence type and sentencing outcome, broken down annually over a 10-year period.","             Offence Type              Type of Sentence    2014-Q2    2015-Q2  \
3  Offence type [note 10]              Type of sentence     2014.0     2015.0   
4       All offence types               Sentenced total  1176597.0  1230092.0   
5       All offence types   Immediate custody [note 12]    92650.0    90601.0   
6       All offence types            Suspended sentence    51492.0    55291.0   
7       All offence types  Community sentence [note 13]   116288.0   109193.0   

     2016-Q2    2017-Q2    2018-Q2    2019-Q2   2020-Q2   2021-Q2   2022-Q2  \
3     2016.0     2017.0     2018.0     2019.0    2020.0    2021.0    2022.0   
4  1250748.0  1221419.0  1195614.0  1181954.0  972442.0  903839.0  994173.0   
5    90826.0    90128.0    86630.0    80254.0   67288.0   63304.0   65227.0   
6    57260.0    56553.0    50799.0    40897.0   34778.0   43535.0   42322.0   
7   106742.0    98362.0    92531.0    91403.0   66257.0   74151.0   70558.0   

     2023-Q2    2024-Q2  
3     2023.0     2024.0  
4  1074208.0  1138624.0  
5    66682.0    75342.0  
6    40848.0    46365.0  
7    68401.0    73425.0  ",../data/clean_csv/cjs-overview-tables-June-2024.ods_Q5_1b.csv,"This worksheet contains one table. nan nan nan nan nan nan nan nan nan nan nan nan This table contains notes, which can be found in the Notes worksheet. nan nan nan nan nan nan nan nan nan nan nan nan Source: Ministry of Justice Court Proceedings Database nan nan nan nan nan nan nan nan nan nan nan nan",columns set,"The dataset in document CJS_overview/cjs-overview-tables-June-2024.ods contains information about Sentencing outcomes for offenders in criminal courts by offence type and time period. from 2014-Q2 to 2024-Q2. The dataset covers the following regions: England, Wales. The dataset has the following columns: Offence Type, Type of Sentence, 2014-Q2, 2015-Q2, 2016-Q2, 2017-Q2, 2018-Q2, 2019-Q2, 2020-Q2, 2021-Q2, 2022-Q2, 2023-Q2, 2024-Q2. The dataset has the following aggregations: The dataset aggregates the number of offenders sentenced by offence type and sentencing outcome, broken down annually over a 10-year period.. The dataset has the following description: The dataset provides the number of offenders (excluding companies, public bodies, etc.) sentenced at criminal courts in England and Wales, categorized by offence type and sentence outcome, covering the period from June 2014 to June 2024. It includes various sentencing outcomes such as immediate custody, suspended sentences, fines, and more."
CJS_overview/cjs-overview-tables-June-2024.ods,0x8DD46BBB6AF20D4,125388,../data/cjs-overview-tables-June-2024.ods,Q5_2a,3,1,"The dataset provides the number of offenders sentenced to immediate custody at criminal courts in England and Wales, categorized by offence group, for the 12-month periods ending June 2014 to June 2024. It includes detailed breakdowns by offence type and year.","['Offence type [note 10]', 'Offence Group', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']",2014-Q2,2024-Q2,"['England', 'Wales']","The dataset focuses on the sentencing of offenders to immediate custody at criminal courts, categorized by offence group and year.","The dataset aggregates the number of offenders sentenced to immediate custody by offence group and year, with totals for all offence types and subcategories such as indictable offences, summary offences, and specific offence types.","   Offence type [note 10]                Offence Group   2014   2015   2016  \
3  Offence type [note 10]                Offence group   2014   2015   2016   
4              Indictable    Indictable offences total  77476  75188  74707   
5              Indictable  Violence against the person  10629  11567  12057   
6              Indictable              Sexual offences   3533   3957   4257   
7              Indictable                      Robbery   3954   3565   3024   

    2017   2018   2019   2020   2021   2022   2023   2024  
3   2017   2018   2019   2020   2021   2022   2023   2024  
4  75319  73132  68713  58432  54815  56691  58754  66895  
5  12199  12723  12895  13024  14356  14360  14257  15883  
6   4520   4323   3318   2535   2811   3788   3808   4253  
7   2865   2907   2799   2367   2019   1793   1946   1888  ",../data/clean_csv/cjs-overview-tables-June-2024.ods_Q5_2a.csv,"This worksheet contains one table. nan nan nan nan nan nan nan nan nan nan nan nan This table contains notes, which can be found in the Notes worksheet. nan nan nan nan nan nan nan nan nan nan nan nan Source: Ministry of Justice Court Proceedings Database nan nan nan nan nan nan nan nan nan nan nan nan",columns set,"The dataset in document CJS_overview/cjs-overview-tables-June-2024.ods contains information about The dataset focuses on the sentencing of offenders to immediate custody at criminal courts, categorized by offence group and year. from 2014-Q2 to 2024-Q2. The dataset covers the following regions: England, Wales. The dataset has the following columns: Offence type [note 10], Offence Group, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024. The dataset has the following aggregations: The dataset aggregates the number of offenders sentenced to immediate custody by offence group and year, with totals for all offence types and subcategories such as indictable offences, summary offences, and specific offence types.. The dataset has the following description: The dataset provides the number of offenders sentenced to immediate custody at criminal courts in England and Wales, categorized by offence group, for the 12-month periods ending June 2014 to June 2024. It includes detailed breakdowns by offence type and year."
CJS_overview/cjs-overview-tables-June-2024.ods,0x8DD46BBB6AF20D4,125388,../data/cjs-overview-tables-June-2024.ods,Q5_2b,3,0,"The dataset provides custody rates (%) at criminal courts in England and Wales, categorized by offence groups, for the 12-month periods from June 2014 to June 2024. It includes detailed breakdowns by offence type and aggregates for all offence types.","['Offence type [note 10]', 'Offence Group', '2014-Q2', '2015-Q2', '2016-Q2', '2017-Q2', '2018-Q2', '2019-Q2', '2020-Q2', '2021-Q2', '2022-Q2', '2023-Q2', '2024-Q2']",2014-Q2,2024-Q2,"['England', 'Wales']",Custody rates at criminal courts by offence group over time.,The dataset aggregates custody rates by offence group and provides yearly custody rate trends for each offence type and overall offence categories.,"   Offence type [note 10]                Offence Group 2014-Q2 2015-Q2  \
3  Offence type [note 10]                Offence group    2014    2015   
4              Indictable    Indictable offences total   0.269   0.275   
5              Indictable  Violence against the person   0.423   0.415   
6              Indictable              Sexual offences     0.6     0.6   
7              Indictable                      Robbery   0.641   0.682   

  2016-Q2 2017-Q2 2018-Q2 2019-Q2 2020-Q2 2021-Q2 2022-Q2 2023-Q2 2024-Q2  
3    2016    2017    2018    2019    2020    2021    2022    2023    2024  
4   0.295   0.313    0.33   0.328   0.344   0.298   0.327   0.331    0.33  
5   0.404   0.412    0.43   0.396   0.402   0.357   0.363   0.361   0.364  
6   0.591   0.596   0.627   0.614   0.584   0.543   0.601   0.584   0.564  
7   0.691   0.699   0.697   0.685   0.643   0.545   0.597   0.609   0.564  ",../data/clean_csv/cjs-overview-tables-June-2024.ods_Q5_2b.csv,"This worksheet contains one table. nan nan nan nan nan nan nan nan nan nan nan nan This table contains notes, which can be found in the Notes worksheet. nan nan nan nan nan nan nan nan nan nan nan nan Source: Ministry of Justice Court Proceedings Database nan nan nan nan nan nan nan nan nan nan nan nan",columns set,"The dataset in document CJS_overview/cjs-overview-tables-June-2024.ods contains information about Custody rates at criminal courts by offence group over time. from 2014-Q2 to 2024-Q2. The dataset covers the following regions: England, Wales. The dataset has the following columns: Offence type [note 10], Offence Group, 2014-Q2, 2015-Q2, 2016-Q2, 2017-Q2, 2018-Q2, 2019-Q2, 2020-Q2, 2021-Q2, 2022-Q2, 2023-Q2, 2024-Q2. The dataset has the following aggregations: The dataset aggregates custody rates by offence group and provides yearly custody rate trends for each offence type and overall offence categories.. The dataset has the following description: The dataset provides custody rates (%) at criminal courts in England and Wales, categorized by offence groups, for the 12-month periods from June 2014 to June 2024. It includes detailed breakdowns by offence type and aggregates for all offence types."
CJS_overview/cjs-overview-tables-June-2024.ods,0x8DD46BBB6AF20D4,125388,../data/cjs-overview-tables-June-2024.ods,Q5_2c,3,0,"The dataset provides the average custodial sentence lengths (in months) issued at criminal courts in England and Wales, categorized by offence groups, for the years from June 2014 to June 2024. It includes detailed breakdowns by offence type and summary statistics.","['Offence type [note 10]', 'Offence Group', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']",2014-Q2,2024-Q2,"['England', 'Wales']",Average custodial sentence lengths by offence group in England and Wales over a 10-year period.,"The dataset aggregates data by offence group and year, providing average custodial sentence lengths for each category.","   Offence type [note 10]                Offence Group  2014  2015  2016  \
3  Offence type [note 10]                Offence group  2014  2015  2016   
4              Indictable    Indictable offences total  17.9  19.1  19.2   
5              Indictable  Violence against the person  23.9  23.5  22.4   
6              Indictable              Sexual offences  59.5  62.3  61.6   
7              Indictable                      Robbery  40.3  42.1  43.5   

   2017  2018  2019  2020  2021  2022  2023  2024  
3  2017  2018  2019  2020  2021  2022  2023  2024  
4  19.8  21.1  21.3  20.4    21  24.3  22.8  22.5  
5  23.6  25.5  24.5  21.2  19.3  21.7  20.8  21.1  
6  61.9  67.3  65.3  65.7  63.2  69.5  66.3  69.5  
7  47.2  48.7    51    51  45.6    49  47.2  45.2  ",../data/clean_csv/cjs-overview-tables-June-2024.ods_Q5_2c.csv,"This worksheet contains one table. nan nan nan nan nan nan nan nan nan nan nan nan This table contains notes, which can be found in the Notes worksheet. nan nan nan nan nan nan nan nan nan nan nan nan Source: Ministry of Justice Court Proceedings Database nan nan nan nan nan nan nan nan nan nan nan nan",columns set,"The dataset in document CJS_overview/cjs-overview-tables-June-2024.ods contains information about Average custodial sentence lengths by offence group in England and Wales over a 10-year period. from 2014-Q2 to 2024-Q2. The dataset covers the following regions: England, Wales. The dataset has the following columns: Offence type [note 10], Offence Group, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024. The dataset has the following aggregations: The dataset aggregates data by offence group and year, providing average custodial sentence lengths for each category.. The dataset has the following description: The dataset provides the average custodial sentence lengths (in months) issued at criminal courts in England and Wales, categorized by offence groups, for the years from June 2014 to June 2024. It includes detailed breakdowns by offence type and summary statistics."
CJS_overview/cjs-overview-tables-June-2024.ods,0x8DD46BBB6AF20D4,125388,../data/cjs-overview-tables-June-2024.ods,Q5_3,2,0,"The dataset provides information on the number of offenders sentenced at criminal courts in England and Wales, categorized by sentence outcomes and offence groups, covering the period from June 2014 to June 2024. It includes detailed breakdowns of offence types, sentencing outcomes, and other related metrics.","['Year', 'Type of sentence', 'Indictable offences total', 'Violence against the person', 'Sexual offences', 'Robbery', 'Theft offences', 'Criminal damage and arson', 'Drug offences', 'Possession of weapons', 'Public order offences', 'Miscellaneous crimes against society', 'Fraud offences', 'Summary offences total', 'Summary non-motoring', 'Summary motoring', 'Offence unknown', 'All offence types total']",2014-Q2,2024-Q2,"['England', 'Wales']",The dataset focuses on criminal court sentencing outcomes and offence group statistics in England and Wales over a ten-year period.,"The dataset aggregates data by year, offence group, and sentencing outcome, providing counts and averages for various metrics such as custodial sentence lengths and total offenders sentenced.","   Year              Type of sentence  Indictable offences total  \
2  Year              Type of sentence  Indictable offences total   
3  2014               Sentenced total                     288283   
4  2014   Immediate custody [note 12]                      77476   
5  2014            Suspended sentence                      37662   
6  2014  Community sentence [note 13]                      61380   

   Violence against the person  Sexual offences  Robbery  Theft offences  \
2  Violence against the person  Sexual offences  Robbery  Theft offences   
3                        25155             5889     6168          119873   
4                        10629             3533     3954           31468   
5                         5970              609      451           11862   
6                         3721             1389     1625           28911   

   Criminal damage and arson  Drug offences  Possession of weapons  \
2  Criminal damage and arson  Drug offences  Possession of weapons   
3                       2991          54098                   9926   
4                        664           8951                   2626   
5                        266           5406                   2144   
6                        964           8176                   3500   

   Public order offences  Miscellaneous crimes against society  \
2  Public order offences  Miscellaneous crimes against society   
3                  16922                                 34111   
4                   4869                                  8350   
5                   2839                                  4780   
6                   2521                                  6176   

   Fraud offences  Summary offences total  Summary non-motoring  \
2  Fraud offences  Summary offences total  Summary non-motoring   
3           13150                  894771                413787   
4            2432                   15174                 11981   
5            3335                   13830                  9806   
6            4397                   54908                 42534   

   Summary motoring  Offence unknown  All offence types total  
2  Summary motoring  Offence unknown  All offence types total  
3            480984                0                  1183054  
4              3193                0                    92650  
5              4024                0                    51492  
6             12374                0                   116288  ",../data/clean_csv/cjs-overview-tables-June-2024.ods_Q5_3.csv,This worksheet contains one table. nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan Source: Ministry of Justice Court Proceedings Database nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,columns set,"The dataset in document CJS_overview/cjs-overview-tables-June-2024.ods contains information about The dataset focuses on criminal court sentencing outcomes and offence group statistics in England and Wales over a ten-year period. from 2014-Q2 to 2024-Q2. The dataset covers the following regions: England, Wales. The dataset has the following columns: Year, Type of sentence, Indictable offences total, Violence against the person, Sexual offences, Robbery, Theft offences, Criminal damage and arson, Drug offences, Possession of weapons, Public order offences, Miscellaneous crimes against society, Fraud offences, Summary offences total, Summary non-motoring, Summary motoring, Offence unknown, All offence types total. The dataset has the following aggregations: The dataset aggregates data by year, offence group, and sentencing outcome, providing counts and averages for various metrics such as custodial sentence lengths and total offenders sentenced.. The dataset has the following description: The dataset provides information on the number of offenders sentenced at criminal courts in England and Wales, categorized by sentence outcomes and offence groups, covering the period from June 2014 to June 2024. It includes detailed breakdowns of offence types, sentencing outcomes, and other related metrics."
